Row Labels,Sum of Survived,Count of Sex
female,233,314
1,91,94
25.9292,2,2
26.2833,1,1
26.55,1,1
27.7208,1,1
28.7125,0,1
30,1,1
31,1,1
39.4,1,1
39.6,1,1
49.5,1,1
49.5042,1,1
51.4792,1,1
51.8625,1,1
52,2,2
52.5542,1,1
53.1,2,2
55,2,2
55.9,1,1
56.9292,1,1
57,1,1
57.9792,2,2
59.4,1,1
66.6,1,1
69.3,2,2
71,1,1
71.2833,1,1
75.25,1,1
76.2917,1,1
76.7292,1,1
77.9583,3,3
78.2667,2,2
78.85,1,1
79.2,1,1
79.65,2,2
80,2,2
82.1708,1,1
83.1583,3,3
83.475,1,1
86.5,3,3
89.1042,1,1
90,2,2
91.0792,1,1
93.5,2,2
106.425,1,1
108.9,1,1
110.8833,2,2
113.275,2,2
120,2,2
133.65,1,1
134.5,2,2
135.6333,2,2
146.5208,2,2
151.55,1,3
153.4625,2,2
164.8667,2,2
211.3375,3,3
227.525,3,3
247.5208,1,1
262.375,2,2
263,2,2
512.3292,1,1
2,70,76
10.5,7,8
12,1,1
12.35,2,2
12.65,1,1
13,12,14
13.5,1,1
13.7917,1,1
13.8583,1,1
14.5,1,1
15.75,1,1
16,1,1
18.75,1,1
19.5,2,2
21,2,3
23,4,4
24,1,1
26,12,14
26.25,4,4
27,1,1
27.75,2,2
29,1,1
30,1,1
30.0708,1,1
32.5,1,1
33,2,2
39,2,2
41.5792,2,2
65,2,2
3,72,144
6.75,0,1
7.225,2,2
7.2292,2,2
7.25,1,1
7.4958,1,1
7.55,1,2
7.6292,0,1
7.65,1,1
7.7333,2,2
7.7375,1,1
7.75,10,15
7.775,1,3
7.7875,1,1
7.8292,1,1
7.8542,2,4
7.8792,4,4
7.8958,0,1
7.925,3,5
8.0292,1,1
8.05,0,2
8.1375,0,1
8.6625,0,2
8.6833,1,1
8.85,0,1
9.35,1,1
9.475,0,1
9.5875,1,2
9.825,0,2
9.8375,0,1
9.8417,1,1
10.4625,0,2
10.5167,0,1
11.1333,2,2
11.2417,1,1
12.2875,1,1
12.475,3,3
13.4167,1,1
14.4,0,1
14.4542,1,5
14.4583,0,2
14.5,0,1
15.2458,1,3
15.5,3,4
15.7417,1,1
15.85,2,2
16.1,2,3
16.7,2,2
17.4,1,1
17.8,0,1
18,0,2
19.2583,4,4
20.2125,0,1
20.25,1,1
20.525,1,1
21.075,0,3
22.025,1,1
22.3583,2,2
23.25,1,1
23.45,0,1
24.15,1,3
25.4667,0,3
27.9,0,3
29.125,0,1
31.275,0,5
31.3875,2,2
34.375,0,3
39.6875,0,1
46.9,0,2
69.55,0,3
male,109,577
1,45,122
0,0,5
5,0,1
25.5875,0,1
25.925,0,1
26,0,2
26.2875,3,3
26.3875,1,1
26.55,7,14
27.7208,0,3
27.75,0,1
28.5,0,1
29.7,1,3
30,3,4
30.5,4,5
30.6958,0,2
31,1,2
32.3208,0,1
33.5,0,1
34.0208,0,1
34.6542,0,1
35,0,1
35.5,3,4
38.5,0,1
39.6,0,1
40.125,0,1
42.4,0,1
47.1,0,1
49.5042,0,1
50,0,1
50.4958,0,1
51.8625,0,1
52,1,5
52.5542,2,2
53.1,1,3
55.4417,1,1
55.9,0,1
56.9292,1,1
57,1,1
61.175,0,1
61.3792,0,1
61.9792,0,1
63.3583,1,1
66.6,0,1
71,0,1
76.7292,2,2
77.2875,0,2
78.85,0,1
79.2,1,3
79.65,0,1
81.8583,1,1
82.1708,0,1
83.475,0,1
89.1042,1,1
90,1,2
91.0792,1,1
106.425,0,1
108.9,0,1
110.8833,1,2
113.275,0,1
120,2,2
133.65,1,1
135.6333,0,1
151.55,1,1
153.4625,0,1
211.5,0,1
221.7792,0,1
227.525,0,1
247.5208,0,1
263,0,2
512.3292,2,2
2,17,108
0,0,6
10.5,2,16
11.5,0,4
12.275,0,1
12.35,0,1
12.525,0,1
12.875,0,1
13,4,28
13.5,0,3
13.8625,1,1
14,0,1
14.5,1,1
15,0,1
15.0458,0,1
15.05,0,1
18.75,2,2
21,0,3
24,0,1
26,3,15
26.25,0,2
27,0,1
27.7208,0,1
27.75,0,1
29,1,1
30.0708,0,1
33,0,1
36.75,1,2
37.0042,1,2
39,1,2
41.5792,0,1
73.5,0,5
3,47,347
0,1,4
4.0125,0,1
6.2375,0,1
6.4375,0,1
6.45,0,1
6.4958,0,2
6.75,0,1
6.8583,0,1
6.95,0,1
6.975,1,2
7.0458,0,1
7.05,0,7
7.0542,0,2
7.125,0,4
7.1417,1,1
7.225,1,10
7.2292,2,13
7.25,0,12
7.3125,0,1
7.4958,0,2
7.5208,0,1
7.55,0,2
7.65,0,3
7.725,0,1
7.7292,0,1
7.7333,0,2
7.7375,0,1
7.7417,0,1
7.75,2,19
7.775,2,13
7.7958,2,6
7.8,0,1
7.8292,0,1
7.8542,1,9
7.875,0,1
7.8875,0,1
7.8958,1,37
7.925,5,13
8.05,5,41
8.1125,1,1
8.1583,0,1
8.3,0,1
8.3625,0,1
8.4042,0,1
8.4333,0,1
8.4583,0,1
8.5167,1,1
8.6542,0,1
8.6625,1,11
8.7125,0,1
9,0,2
9.2167,0,1
9.225,0,2
9.35,0,1
9.4833,0,1
9.5,2,9
9.8458,0,1
10.1708,0,1
11.1333,1,1
11.2417,1,1
12.475,1,1
14.1083,0,1
14.4,0,1
14.4542,0,2
14.4583,0,1
14.5,0,4
15.1,0,1
15.2458,2,2
15.5,0,4
15.55,0,1
15.7417,1,1
15.85,0,2
15.9,2,2
16.1,0,6
17.8,0,1
18,0,1
18.7875,1,2
19.9667,0,2
20.2125,0,1
20.25,0,1
20.525,1,2
20.575,1,2
21.075,0,1
21.6792,0,1
22.525,0,1
23.25,1,1
23.45,0,1
24.15,0,5
25.4667,0,1
27.9,0,3
29.125,0,4
31.275,0,2
31.3875,1,2
34.375,0,1
39.6875,0,5
46.9,0,4
56.4958,5,7
69.55,0,4
Grand Total,342,891